state,disease,cases,deaths,start_date,report_date,status,year,month,week,district,day_of_week,is_weekend,cases_lag_1,cases_lag_2,cases_lag_3,cases_rolling_mean_3,cases_rolling_mean_5,case_change,case_growth_rate,spike_flag,death_rate,severity_score,disease_frequency,recent_trend,disease_risk_score,top_disease,top_disease_total_cases,top_disease_total_deaths,avg_severity_score,total_spikes,is_top_disease,enhanced_disease_risk_score,disease_trend
arunachal pradesh,dengue,0.13157894736842105,0.0,2025-07-23,2025-07-23,cases were reported from wakro township sub- district wakro eac district lohit. cases presented with fever and body aches. district rrt investigated the outbreak. the affected age group was 14-70 years. cases were treated at chc wakro and zonal general hospital tezu. 416 serum samples were collected and sent to dphl tezu where 61 samples were found positive for dengue tested by igm elisa. community awareness and health education given by the peripheral team on vector control measures hygiene and sanitation.,2025,7,30,lohit,2,0,0.0,,,0.13750954927425516,0.13750954927425516,0.3727144866385373,0.3256925477955521,0,0.0,0.13157894736842107,0.07142857142857142,-0.00593060190583411,0.14408587798016306,dengue,0.048,0.0,0.0336,0,1,0.14164226895760665,Stable
uttar pradesh,acute diarrheal disease,0.03289473684210526,0.0,2025-07-27,2025-07-27,cases of loose motion and vomiting were reported from village marora chc badagaon sub-district/district jhansi. district rrt investigated the outbreak. house to house survey was done. people consumed water from 4 hand pumps in the locality. cases were given ors packets and zinc tablets.few cases were treated at mlb medical college jhansi. cases were in the age group 2-56 years. out of 4 water samples collected and sent to medical college jhansi 2 samples were non-potable. all the four handpumps which were used in the village for drinking water were marked as unsafe for water consumption. chlorine tablets were distributed to households. community awareness and health education given by peripheral team on safe drinking water hygiene and sanitation,2025,7,30,jhansi,6,1,0.0,,,0.03437738731856379,0.03437738731856379,0.3727144866385373,0.3256925477955521,0,0.0,0.03289473684210527,0.07142857142857142,-0.0014826504764585274,0.08487535166437359,measles,0.016800000000000002,0.0,0.011760000000000001,0,0,0.09230016369444877,Stable
mizoram,typhoid,0.04605263157894737,0.0,2025-07-27,2025-07-27,cases of fever abdominal pain and vomiting were reported from village keifang venglai keifang leitan tawizo tualbung & saitual i sub- district phullen district saitual. district rrt investigated the outbreak. house to house search for fever cases was done in the affected area. cases were treated at district hospital saitual. cases were in the age group 10 months - 60 years. out of 20 blood samples collected and sent to dh saitul 20 samples tested positive for salmonella typhi by typhidot. chlorination of the water source was done. community awareness and health education given by peripheral team on safe drinking water and food habits hygiene and sanitation,2025,7,30,aizawl,6,1,0.0,,,0.04812834224598931,0.04812834224598931,0.3727144866385373,0.3256925477955521,0,0.0,0.04605263157894738,0.07142857142857142,-0.002075710667041937,0.09277008850647885,undifferentiated fever,0.11280000000000001,0.0,0.07896,0,0,0.09887911106286983,Stable
maharashtra,dengue,0.041666666666666664,0.0,2025-07-28,2025-07-28,under surveillance,2025,7,31,amravati,0,0,0.0,,,0.04354469060351413,0.04354469060351413,0.3727144866385373,0.3256925477955521,0,0.0,0.04166666666666667,0.07142857142857142,-0.0018780239368474672,0.09013850955911042,dengue,0.0152,0.0,0.01064,0,1,0.09668612860672948,Stable
bihar,acute diarrheal disease,0.5153508771929824,0.0,2025-07-28,2025-07-29,under surveillance,2025,7,31,jehanabad,1,0,0.0,,,0.5385790679908327,0.5385790679908327,0.3727144866385373,0.3256925477955521,0,0.0,0.5153508771929826,0.07142857142857142,-0.023228190797850212,0.3743490358748999,acute diarrheal disease,0.188,0.0,0.1316,0,1,0.3335282338698874,Stable
odisha,hepatitis,0.08771929824561403,0.0,2025-07-29,2025-07-29,under surveillance,2025,7,31,jagatsinghpur,1,0,0.0,,,0.09167303284950343,0.09167303284950343,0.3727144866385373,0.3256925477955521,0,0.0,0.08771929824561404,0.07142857142857142,-0.003953734603889397,0.11777008850647884,hepatitis,0.032,0.0,0.0224,0,1,0.11971244439620315,Stable
madhya pradesh,malaria,0.04385964912280702,0.0,2025-07-24,2025-07-29,under surveillance,2025,7,31,panna,1,0,0.0,,,0.04583651642475173,0.04583651642475173,0.3727144866385373,0.3256925477955521,0,0.0,0.04385964912280703,0.07142857142857142,-0.0019768673019447056,0.09145429903279463,acute diarrheal disease,0.0504,0.0,0.01764,0,0,0.09778261983479966,Stable
gujarat,cholera,0.13596491228070173,0.0,2025-07-29,2025-07-29,under surveillance,2025,7,31,valsad,1,0,0.0,,,0.1420932009167303,0.1420932009167303,0.3727144866385373,0.3256925477955521,0,0.0,0.13596491228070176,0.07142857142857142,-0.006128288636028573,0.14671745692753146,cholera,0.0496,0.0,0.034719999999999994,0,1,0.143835251413747,Stable
manipur,measles,0.07456140350877193,0.0,2025-07-30,2025-07-30,under surveillance,2025,7,31,senapati,2,0,0.0,,,0.07792207792207792,0.07792207792207792,0.3727144866385373,0.3256925477955521,0,0.0,0.07456140350877194,0.07142857142857142,-0.0033606744133059946,0.10987535166437358,measles,0.027200000000000002,0.0,0.01904,0,1,0.11313349702778211,Stable
assam,food poisoning,0.05701754385964913,0.0,2025-07-30,2025-07-30,cases were reported from bihangapur ssb camp kumarikata sub-district tamulpur district tamulpur. the cases presented with vomiting fever and loose motion. the district rrt investigated the outbreak. cases were treated symptomatically. 8 stool samples collected showed growth of e.coli. in culture. 2 water samples collected for the mpn test were unsatisfactory. community awareness and health education were provided by the peripheral team on hygiene sanitation and safe drinking water and food habits.,2025,7,31,baksa,2,0,0.0,,,0.059587471352177235,0.059587471352177235,0.3727144866385373,0.3256925477955521,0,0.0,0.057017543859649134,0.07142857142857142,-0.002569927492528108,0.0993490358748999,food poisoning,0.020800000000000003,0.0,0.01456,0,1,0.10436156720322069,Stable
sikkim,typhoid,0.050438596491228074,0.0,2025-07-30,2025-07-30,under surveillance,2025,7,31,east,2,0,0.0,,,0.05271199388846448,0.05271199388846448,0.3727144866385373,0.3256925477955521,0,0.0,0.05043859649122808,0.07142857142857142,-0.002273397397236407,0.09540166745384727,acute diarrheal disease,0.228,0.04,0.0143,0,0,0.10107209351901017,Stable
odisha,measles,0.08771929824561403,0.0,2025-07-30,2025-07-31,under surveillance,2025,7,31,bargarh,3,0,0.0,,,0.09167303284950343,0.09167303284950343,0.3727144866385373,0.3256925477955521,0,0.0,0.08771929824561404,0.07142857142857142,-0.003953734603889397,0.11777008850647884,measles,0.032,0.0,0.0224,0,1,0.11971244439620315,Stable
madhya pradesh,cholera,0.028508771929824556,0.0,2025-07-31,2025-07-31,under surveillance,2025,7,31,bhopal,3,0,0.0,,,0.029793735676088614,0.029793735676088614,0.3727144866385373,0.3256925477955521,0,0.0,0.028508771929824563,0.07142857142857142,-0.0012849637462640576,0.08224377271700516,cholera,0.0104,0.0,0.007279999999999999,0,1,0.09010718123830842,Stable
karnataka,chikungunya,0.05921052631578947,0.0,2025-07-31,2025-07-31,under surveillance,2025,7,31,bijapur,3,0,0.0,,,0.06187929717341482,0.06187929717341482,0.3727144866385373,0.3256925477955521,0,0.0,0.05921052631578948,0.07142857142857142,-0.0026687708576253466,0.10066482534858412,acute diarrheal disease,0.0328,0.0,0.02296,0,0,0.10545805843129087,Stable
west bengal,scrub typhus,0.03070175438596491,0.0,2025-07-31,2025-07-31,under surveillance,2025,7,31,jalpaiguri,3,0,0.0,,,0.0320855614973262,0.0320855614973262,0.3727144866385373,0.3256925477955521,0,0.0,0.030701754385964914,0.07142857142857142,-0.001383807111361289,0.08355956219068937,food poisoning,0.036000000000000004,0.08,0.0246,0,0,0.09120367246637859,Stable
kerala,food poisoning,0.08114035087719298,0.0,2025-07-28,2025-07-31,under control,2025,7,31,malappuram,3,0,0.0,,,0.08479755538579067,0.08479755538579067,0.3727144866385373,0.3256925477955521,0,0.0,0.08114035087719298,0.07142857142857142,-0.003657204508597689,0.11382272008542621,hepatitis,0.1584,0.0,0.011088,0,0,0.11642297071199263,Stable
jammu and kashmir,hepatitis,0.06578947368421054,0.0,2025-07-31,2025-07-31,under control,2025,7,31,ganderbal,3,0,0.0,,,0.06875477463712758,0.06875477463712758,0.3727144866385373,0.3256925477955521,0,0.0,0.06578947368421055,0.07142857142857142,-0.002965300952917041,0.10461219376963676,typhoid,0.0448,0.0,0.03136,0,0,0.10874753211550141,Stable
arunachal pradesh,dengue,0.21271929824561403,0.0,2025-07-31,2025-07-31,cases were reported from township chownkham sub-district chownkham eac district namsai. cases presented with symptoms of fever body ache and myalgia. district rrt investigated the outbreak. house to house search for fever cases was done in the affected area. cases were in the age group 10-70 years. 623 blood samples were collected and sent to district hospital namsai of which 46 tested positive for dengue ns1 and igm by elisa and 52 tested positive by rapid ns1. community awareness and health education given by the peripheral team on vector control measures hygiene and sanitation.,2025,7,31,namsai,3,0,0.0,,,0.22230710466004583,0.22230710466004583,0.3727144866385373,0.3256925477955521,0,0.0,0.21271929824561406,0.07142857142857142,-0.009587806414431799,0.19277008850647886,dengue,0.0776,0.0,0.05432,0,1,0.18221244439620315,Stable
madhya pradesh,acute diarrheal disease,0.10307017543859649,0.0,2025-07-31,2025-07-31,under control,2025,7,31,neemuch,3,0,0.0,,,0.10771581359816654,0.10771581359816654,0.3727144866385373,0.3256925477955521,0,0.0,0.1030701754385965,0.07142857142857142,-0.004645638159570045,0.12698061482226833,typhoid,0.0408,0.0,0.02856,0,0,0.12738788299269438,Stable
uttar pradesh,food poisoning,0.03728070175438596,0.0,2025-07-25,2025-08-01,under control,2025,8,31,mathura,4,0,0.0,,,0.03896103896103896,0.03896103896103896,0.3727144866385373,0.3256925477955521,0,0.0,0.03728070175438597,0.07142857142857142,-0.0016803372066529973,0.087506930611742,food poisoning,0.013600000000000001,0.0,0.00952,0,1,0.09449314615058912,Stable
madhya pradesh,chikungunya,0.02631578947368421,0.0,2025-08-01,2025-08-01,under surveillance,2025,8,31,guna,4,0,0.0,,,0.02750190985485103,0.02750190985485103,0.3727144866385373,0.3256925477955521,0,0.0,0.026315789473684216,0.07142857142857142,-0.0011861203811668226,0.08092798324332096,acute diarrheal disease,0.0112,0.0,0.00784,0,0,0.08901069001023824,Stable
kerala,mumps,0.07017543859649122,0.0,2025-08-01,2025-08-01,under surveillance,2025,8,31,pathanamthitta,4,0,0.0,,,0.07333842627960274,0.07333842627960274,0.3727144866385373,0.3256925477955521,0,0.0,0.07017543859649124,0.07142857142857142,-0.003162987683111518,0.10724377271700516,undifferentiated fever,0.06720000000000001,0.0,0.047040000000000005,0,0,0.11094051457164175,Stable
arunachal pradesh,measles,0.019736842105263157,0.0,2025-08-02,2025-08-02,under surveillance,2025,8,31,lower subansiri,5,1,0.0,,,0.02062643239113827,0.02062643239113827,0.3727144866385373,0.3256925477955521,0,0.0,0.019736842105263157,0.07142857142857142,-0.0008895902858751144,0.07698061482226831,measles,0.0072,0.0,0.005039999999999999,0,1,0.08572121632602771,Stable
bihar,acute diarrheal disease,0.019736842105263157,0.0,2025-07-31,2025-08-02,under surveillance,2025,8,31,gaya,5,1,0.0,,,0.02062643239113827,0.02062643239113827,0.3727144866385373,0.3256925477955521,0,0.0,0.019736842105263157,0.07142857142857142,-0.0008895902858751144,0.07698061482226831,measles,0.0104,0.0,0.007279999999999999,0,0,0.08572121632602771,Stable
kerala,hepatitis,0.07017543859649122,0.0,2025-08-03,2025-08-03,cases of fever with loss of appetite and nausea were reported from mandad area fhc vazhavatta sub-district vythiri district wayanad. district rrt investigated the outbreak. house to house survey was done. cases were treated at a medical camp established in the locality. the age group of affected cases was 9-55 years. out of 33 serum samples collected and sent to public health lab wayanad 5 samples tested positive for hepatitis a igm elisa. chlorination of water sources was done. community awareness and health education given by the peripheral team on safe drinking water and food habits hygiene and sanitation.,2025,8,31,wayanad,6,1,0.0,,,0.07333842627960274,0.07333842627960274,0.3727144866385373,0.3256925477955521,0,0.0,0.07017543859649124,0.07142857142857142,-0.003162987683111518,0.10724377271700516,food poisoning,0.0632,0.0,0.02212,0,0,0.11094051457164175,Stable
andhra pradesh,acute diarrheal disease,0.015350877192982455,0.0,2025-08-04,2025-08-04,cases were reported from village peddamatlagondi sub-district singanamala district anantapur. cases presented with loose motions. district rrt investigated the outbreak. the affected age group was 15-60 years. no coliform was detected in 1 water sample collected and sent to rws. the cases had attended a local festival. medical camp was conducted. ors packets and zinc tablets were given to cases. community awareness and health education given by the peripheral team on safe water and food habits hygiene and sanitation.,2025,8,32,anantapur,0,0,0.04,0.0096,0.27906976744186046,0.023682200152788387,0.0475553857906799,0.3656821378340366,0.31814502740140227,0,0.0,0.015350877192982457,0.2857142857142857,-0.008331322959805931,0.07283953179606993,acute diarrheal disease,0.0664,0.08,0.01762,0,1,0.11416158693391454,Stable
chhattisgarh,hepatitis,0.1381578947368421,0.0,2025-08-01,2025-08-04,under surveillance,2025,8,32,bharatpur,0,0,0.0,,,0.1443850267379679,0.1443850267379679,0.3727144866385373,0.3256925477955521,0,0.0,0.13815789473684212,0.07142857142857142,-0.006227132001125818,0.14803324640121568,hepatitis,0.0504,0.0,0.03528,0,1,0.14493174264181716,Stable
odisha,food poisoning,0.293859649122807,0.0,2025-08-02,2025-08-04,under control,2025,8,32,balangir,0,0,0.0,,,0.3071046600458365,0.3071046600458365,0.3727144866385373,0.3256925477955521,0,0.0,0.29385964912280704,0.07142857142857142,-0.013245010923029488,0.24145429903279464,food poisoning,0.1072,0.0,0.07504,0,1,0.2227826198347996,Stable
odisha,food poisoning,0.028508771929824556,0.0,2025-08-04,2025-08-04,under control,2025,8,32,cuttack,0,0,0.0,,,0.029793735676088614,0.029793735676088614,0.3727144866385373,0.3256925477955521,0,0.0,0.028508771929824563,0.07142857142857142,-0.0012849637462640576,0.08224377271700516,hepatitis,0.0896,0.0,0.01568,0,0,0.09010718123830842,Stable
jammu and kashmir,chickenpox,0.09649122807017543,0.0,2025-08-05,2025-08-05,under surveillance,2025,8,32,kupwara,1,0,0.0,,,0.10084033613445378,0.10084033613445378,0.3727144866385373,0.3256925477955521,0,0.0,0.09649122807017545,0.07142857142857142,-0.004349108064278351,0.12303324640121568,chickenpox,0.0352,0.0,0.02464,0,1,0.12409840930848386,Stable
chhattisgarh,acute diarrheal disease,0.08333333333333333,0.0,2025-08-04,2025-08-05,under control,2025,8,32,bilaspur,1,0,0.0,,,0.08708938120702826,0.08708938120702826,0.3727144866385373,0.3256925477955521,0,0.0,0.08333333333333334,0.07142857142857142,-0.0037560478736949343,0.11513850955911042,acute diarrheal disease,0.030400000000000003,0.0,0.02128,0,1,0.1175194619400628,Stable
madhya pradesh,scrub typhus,0.021929824561403508,0.0,2025-08-05,2025-08-05,under surveillance,2025,8,32,singrauli,1,0,0.0,,,0.022918258212375857,0.022918258212375857,0.3727144866385373,0.3256925477955521,0,0.0,0.02192982456140351,0.07142857142857142,-0.0009884336509723493,0.07829640429595253,acute diarrheal disease,0.0152,0.0,0.01064,0,0,0.08681770755409789,Stable
karnataka,undifferentiated fever,0.1469298245614035,0.0,2025-08-06,2025-08-06,under control,2025,8,32,dharwad,2,0,0.0,,,0.15355233002291824,0.15355233002291824,0.3727144866385373,0.3256925477955521,0,0.0,0.14692982456140352,0.07142857142857142,-0.006622505461514744,0.15329640429595254,undifferentiated fever,0.0536,0.0,0.03752,0,1,0.14931770755409787,Stable
assam,chickenpox,0.021929824561403508,0.0,2025-08-04,2025-08-06,under control,2025,8,32,dhemaji,2,0,0.0,,,0.022918258212375857,0.022918258212375857,0.3727144866385373,0.3256925477955521,0,0.0,0.02192982456140351,0.07142857142857142,-0.0009884336509723493,0.07829640429595253,acute diarrheal disease,0.0504,0.0,0.03528,0,0,0.08681770755409789,Stable
jammu and kashmir,hepatitis,0.019736842105263157,0.0,2025-08-05,2025-08-06,under surveillance,2025,8,32,shopian,2,0,0.0,,,0.02062643239113827,0.02062643239113827,0.3727144866385373,0.3256925477955521,0,0.0,0.019736842105263157,0.07142857142857142,-0.0008895902858751144,0.07698061482226831,acute diarrheal disease,0.022400000000000003,0.0,0.015680000000000003,0,0,0.08572121632602771,Stable
assam,acute diarrheal disease,0.050438596491228074,0.0,2025-08-05,2025-08-06,under control,2025,8,32,nagaon,2,0,0.0,,,0.05271199388846448,0.05271199388846448,0.3727144866385373,0.3256925477955521,0,0.0,0.05043859649122808,0.07142857142857142,-0.002273397397236407,0.09540166745384727,acute diarrheal disease,0.018400000000000003,0.0,0.01288,0,1,0.10107209351901017,Stable
chhattisgarh,acute diarrheal disease,0.019736842105263157,0.0,2025-08-05,2025-08-06,under control,2025,8,32,balod,2,0,0.0,,,0.02062643239113827,0.02062643239113827,0.3727144866385373,0.3256925477955521,0,0.0,0.019736842105263157,0.07142857142857142,-0.0008895902858751144,0.07698061482226831,hepatitis,0.026400000000000003,0.0,0.01848,0,0,0.08572121632602771,Stable
chhattisgarh,acute diarrheal disease,0.04605263157894737,0.14285714285714285,2025-08-05,2025-08-07,under control,2025,8,32,jashpur,3,0,0.0,,,0.04812834224598931,0.04812834224598931,0.3727144866385373,0.3256925477955521,0,0.14600427110261885,0.09304511278195492,0.07142857142857142,-0.002075710667041937,0.10216858474708035,acute diarrheal disease,0.016800000000000002,0.04,0.023760000000000003,0,1,0.10592798324332095,Stable
goa,cholera,0.07675438596491228,0.0,2025-08-07,2025-08-07,under surveillance,2025,8,32,south goa,3,0,0.0,,,0.08021390374331551,0.08021390374331551,0.3727144866385373,0.3256925477955521,0,0.0,0.0767543859649123,0.07142857142857142,-0.003459517778403226,0.1111911411380578,cholera,0.028000000000000004,0.0,0.019600000000000003,0,1,0.11422998825585229,Stable
karnataka,acute diarrheal disease,0.08991228070175439,0.0,2025-08-06,2025-08-07,under control,2025,8,32,bijapur,3,0,0.0,,,0.09396485867074102,0.09396485867074102,0.3727144866385373,0.3256925477955521,0,0.0,0.0899122807017544,0.07142857142857142,-0.004052577968986629,0.11908587798016305,acute diarrheal disease,0.0328,0.0,0.02296,0,1,0.12080893562427333,Stable
tamil nadu,hepatitis,0.041666666666666664,0.0,2025-08-06,2025-08-07,under surveillance,2025,8,32,krishnagiri,3,0,0.0,,,0.04354469060351413,0.04354469060351413,0.3727144866385373,0.3256925477955521,0,0.0,0.04166666666666667,0.07142857142857142,-0.0018780239368474672,0.09013850955911042,hepatitis,0.0152,0.0,0.01064,0,1,0.09668612860672948,Stable
odisha,typhoid,0.041666666666666664,0.0,2025-08-05,2025-08-07,under surveillance,2025,8,32,ganjam,3,0,0.0,,,0.04354469060351413,0.04354469060351413,0.3727144866385373,0.3256925477955521,0,0.0,0.04166666666666667,0.07142857142857142,-0.0018780239368474672,0.09013850955911042,undifferentiated fever,0.0296,0.0,0.02072,0,0,0.09668612860672948,Stable
chhattisgarh,acute diarrheal disease,0.054824561403508776,0.0,2025-08-05,2025-08-07,under control,2025,8,32,baloda bazar,3,0,0.0,,,0.05729564553093965,0.05729564553093965,0.3727144866385373,0.3256925477955521,0,0.0,0.05482456140350879,0.07142857142857142,-0.0024710841274308767,0.09803324640121569,acute diarrheal disease,0.020000000000000004,0.0,0.014000000000000002,0,1,0.10326507597515053,Stable
maharashtra,undifferentiated fever,0.125,0.0,2025-08-07,2025-08-07,under surveillance,2025,8,32,bhandara,3,0,0.0,,,0.1306340718105424,0.1306340718105424,0.3727144866385373,0.3256925477955521,0,0.0,0.125,0.07142857142857142,-0.0056340718105424015,0.14013850955911042,undifferentiated fever,0.0456,0.0,0.03192,0,1,0.1383527952733961,Stable
tamil nadu,hepatitis,0.08114035087719298,0.0,2025-08-07,2025-08-08,under surveillance,2025,8,32,thanjavur,4,0,0.0,,,0.08479755538579067,0.08479755538579067,0.3727144866385373,0.3256925477955521,0,0.0,0.08114035087719298,0.07142857142857142,-0.003657204508597689,0.11382272008542621,hepatitis,0.0296,0.0,0.02072,0,1,0.11642297071199263,Stable
